@relation bridges-version2-pn
@attribute IDENTIF{E1,E2,E3,E5,E6,E7,E8,E9,E10,E11,E12,E14,E13,E15,E16,E17,E18,E19,E20,E21,E23,E22,E24,E25,E27,E26,E30,E29,E28,E32,E31,E34,E33,E36,E35,E38,E37,E39,E4,E40,E41,E42,E44,E43,E46,E45,E47,E58,E48,E94,E49,E95,E87,E51,E50,E89,E53,E52,E54,E56,E55,E57,E59,E92,E61,E60,E62,E63,E65,E64,E66,E70,E69,E101,E73,E72,E67,E75,E74,E71,E68,E78,E77,E76,E93,E79,E108,E107N,E105,E103,E97,E96,E99,E98,E81,E80,E88,E82,E102,E83,E86,E85,E84,E91,E90}
@attribute RIVER{M,A,O,Y}
@attribute LOCATION real[1.0,52.0]
@attribute ERECTED{CRAFTS,EMERGING,MATURE,MODERN}
@attribute PURPOSE{HIGHWAY,AQUEDUCT,RR,WALK}
@attribute LENGTH{MEDIUM,SHORT,LONG}
@attribute LANES integer[1,6]
@attribute CLEAR-G{N,G}
@attribute T-OR-D{THROUGH,DECK}
@attribute MATERIAL{WOOD,IRON,STEEL}
@attribute SPAN{SHORT,MEDIUM,LONG}
@attribute REL-L{S,S-F,F}
@attribute y{n,p}
@inputs IDENTIF, RIVER, LOCATION, ERECTED, PURPOSE, LENGTH, LANES, CLEAR-G, T-OR-D, MATERIAL, SPAN, REL-L
@outputs y
@data
E1,M,3.0,CRAFTS,HIGHWAY,MEDIUM,2,N,THROUGH,WOOD,SHORT,S,n
E2,A,25.0,CRAFTS,HIGHWAY,MEDIUM,2,N,THROUGH,WOOD,SHORT,S,n
E3,A,39.0,CRAFTS,AQUEDUCT,MEDIUM,1,N,THROUGH,WOOD,MEDIUM,S,n
E5,A,29.0,CRAFTS,HIGHWAY,MEDIUM,2,N,THROUGH,WOOD,SHORT,S,n
E6,M,23.0,CRAFTS,HIGHWAY,MEDIUM,2,N,THROUGH,WOOD,MEDIUM,S,n
E7,A,27.0,CRAFTS,HIGHWAY,SHORT,2,N,THROUGH,WOOD,MEDIUM,S,n
E8,A,28.0,CRAFTS,AQUEDUCT,MEDIUM,1,N,THROUGH,IRON,SHORT,S,n
E9,M,3.0,CRAFTS,HIGHWAY,MEDIUM,2,N,THROUGH,IRON,SHORT,S,n
E10,A,39.0,CRAFTS,AQUEDUCT,MEDIUM,1,N,DECK,WOOD,MEDIUM,S,n
E11,A,29.0,CRAFTS,HIGHWAY,MEDIUM,2,N,THROUGH,WOOD,MEDIUM,S,n
E12,A,39.0,CRAFTS,RR,MEDIUM,2,N,DECK,WOOD,MEDIUM,S,n
E14,M,6.0,CRAFTS,HIGHWAY,MEDIUM,2,N,THROUGH,WOOD,MEDIUM,S,n
E13,A,33.0,CRAFTS,HIGHWAY,MEDIUM,2,N,THROUGH,WOOD,MEDIUM,S,n
E15,A,28.0,CRAFTS,RR,MEDIUM,2,N,THROUGH,WOOD,MEDIUM,S,n
E16,A,25.0,CRAFTS,HIGHWAY,MEDIUM,2,N,THROUGH,IRON,MEDIUM,S-F,n
E17,M,4.0,CRAFTS,RR,MEDIUM,2,N,THROUGH,IRON,MEDIUM,F,p
