@relation car-pn
@attribute buying{vhigh,high,med,low}
@attribute maint{vhigh,high,med,low}
@attribute doors{2,3,4,5more}
@attribute persons{2,4,more}
@attribute lug_boot{small,med,big}
@attribute safety{low,med,high}
@attribute y{p,n}
@inputs buying, maint, doors, persons, lug_boot, safety
@outputs y
@data
vhigh,vhigh,2,2,small,low,p
vhigh,vhigh,2,2,small,med,p
vhigh,vhigh,2,2,small,high,p
vhigh,vhigh,2,2,med,low,p
vhigh,vhigh,2,2,med,med,p
vhigh,vhigh,2,2,med,high,p
vhigh,vhigh,2,2,big,low,p
vhigh,vhigh,2,2,big,med,p
vhigh,vhigh,2,2,big,high,p
vhigh,vhigh,2,4,small,low,p
vhigh,vhigh,2,4,small,med,p
vhigh,vhigh,2,4,small,high,p
vhigh,vhigh,2,4,med,low,p
vhigh,vhigh,2,4,med,med,p
vhigh,vhigh,2,4,med,high,p
vhigh,vhigh,2,4,big,low,p
vhigh,vhigh,2,4,big,med,p
vhigh,vhigh,2,4,big,high,p
vhigh,vhigh,2,more,small,low,p
vhigh,vhigh,2,more,small,med,p
vhigh,vhigh,2,more,small,high,p
vhigh,vhigh,2,more,med,low,p
vhigh,vhigh,2,more,med,med,p
vhigh,vhigh,2,more,med,high,p
vhigh,vhigh,2,more,big,low,p
vhigh,vhigh,2,more,big,med,p
vhigh,vhigh,2,more,big,high,p
vhigh,vhigh,3,2,small,low,p
vhigh,vhigh,3,2,small,med,p
vhigh,vhigh,3,2,small,high,p
vhigh,vhigh,3,2,med,low,p
vhigh,vhigh,3,2,med,med,p
vhigh,vhigh,3,2,med,high,p
vhigh,vhigh,3,2,big,low,p
vhigh,vhigh,3,2,big,med,p
vhigh,vhigh,3,2,big,high,p
vhigh,vhigh,3,4,small,low,p
vhigh,vhigh,3,4,small,med,p
vhigh,vhigh,3,4,small,high,p
vhigh,vhigh,3,4,med,low,p
vhigh,vhigh,3,4,med,med,p
vhigh,vhigh,3,4,med,high,p
vhigh,vhigh,3,4,big,low,p
vhigh,vhigh,3,4,big,med,p
vhigh,vhigh,3,4,big,high,p
vhigh,vhigh,3,more,small,low,p
vhigh,vhigh,3,more,small,med,p
vhigh,vhigh,3,more,small,high,p
vhigh,vhigh,3,more,med,low,p
vhigh,vhigh,3,more,med,med,p
vhigh,vhigh,3,more,med,high,p
vhigh,vhigh,3,more,big,low,p
vhigh,vhigh,3,more,big,med,p
vhigh,vhigh,3,more,big,high,p
vhigh,vhigh,4,2,small,low,p
vhigh,vhigh,4,2,small,med,p
vhigh,vhigh,4,2,small,high,p
vhigh,vhigh,4,2,med,low,p
vhigh,vhigh,4,2,med,med,p
vhigh,vhigh,4,2,med,high,p
vhigh,vhigh,4,2,big,low,p
vhigh,vhigh,4,2,big,med,p
vhigh,vhigh,4,2,big,high,p
vhigh,vhigh,4,4,small,low,p
vhigh,vhigh,4,4,small,med,p
vhigh,vhigh,4,4,small,high,p
vhigh,vhigh,4,4,med,low,p
vhigh,vhigh,4,4,med,med,p
vhigh,vhigh,4,4,med,high,p
vhigh,vhigh,4,4,big,low,p
vhigh,vhigh,4,4,big,med,p
vhigh,vhigh,4,4,big,high,p
vhigh,vhigh,4,more,small,low,p
vhigh,vhigh,4,more,small,med,p
vhigh,vhigh,4,more,small,high,p
vhigh,vhigh,4,more,med,low,p
vhigh,vhigh,4,more,med,med,p
vhigh,vhigh,4,more,med,high,p
vhigh,vhigh,4,more,big,low,p
vhigh,vhigh,4,more,big,med,p
vhigh,vhigh,4,more,big,high,p
vhigh,vhigh,5more,2,small,low,p
vhigh,vhigh,5more,2,small,med,p
vhigh,vhigh,5more,2,small,high,p
vhigh,vhigh,5more,2,med,low,p
vhigh,vhigh,5more,2,med,med,p
vhigh,vhigh,5more,2,med,high,p
vhigh,vhigh,5more,2,big,low,p
vhigh,vhigh,5more,2,big,med,p
vhigh,vhigh,5more,2,big,high,p
vhigh,vhigh,5more,4,small,low,p
vhigh,vhigh,5more,4,small,med,p
vhigh,vhigh,5more,4,small,high,p
vhigh,vhigh,5more,4,med,low,p
vhigh,vhigh,5more,4,med,med,p
vhigh,vhigh,5more,4,med,high,p
vhigh,vhigh,5more,4,big,low,p
vhigh,vhigh,5more,4,big,med,p
vhigh,vhigh,5more,4,big,high,p
vhigh,vhigh,5more,more,small,low,p
vhigh,vhigh,5more,more,small,med,p
vhigh,vhigh,5more,more,small,high,p
vhigh,vhigh,5more,more,med,low,p
vhigh,vhigh,5more,more,med,med,p
vhigh,vhigh,5more,more,med,high,p
vhigh,vhigh,5more,more,big,low,p
vhigh,vhigh,5more,more,big,med,p
vhigh,vhigh,5more,more,big,high,p
vhigh,high,2,2,small,low,p
vhigh,high,2,2,small,med,p
vhigh,high,2,2,small,high,p
vhigh,high,2,2,med,low,p
vhigh,high,2,2,med,med,p
vhigh,high,2,2,med,high,p
vhigh,high,2,2,big,low,p
vhigh,high,2,2,big,med,p
vhigh,high,2,2,big,high,p
vhigh,high,2,4,small,low,p
vhigh,high,2,4,small,med,p
vhigh,high,2,4,small,high,p
vhigh,high,2,4,med,low,p
vhigh,high,2,4,med,med,p
vhigh,high,2,4,med,high,p
vhigh,high,2,4,big,low,p
vhigh,high,2,4,big,med,p
vhigh,high,2,4,big,high,p
vhigh,high,2,more,small,low,p
vhigh,high,2,more,small,med,p
vhigh,high,2,more,small,high,p
vhigh,high,2,more,med,low,p
vhigh,high,2,more,med,med,p
vhigh,high,2,more,med,high,p
vhigh,high,2,more,big,low,p
vhigh,high,2,more,big,med,p
vhigh,high,2,more,big,high,p
vhigh,high,3,2,small,low,p
vhigh,high,3,2,small,med,p
vhigh,high,3,2,small,high,p
vhigh,high,3,2,med,low,p
vhigh,high,3,2,med,med,p
vhigh,high,3,2,med,high,p
vhigh,high,3,2,big,low,p
vhigh,high,3,2,big,med,p
vhigh,high,3,2,big,high,p
vhigh,high,3,4,small,low,p
vhigh,high,3,4,small,med,p
vhigh,high,3,4,small,high,p
vhigh,high,3,4,med,low,p
vhigh,high,3,4,med,med,p
vhigh,high,3,4,med,high,p
vhigh,high,3,4,big,low,p
vhigh,high,3,4,big,med,p
vhigh,high,3,4,big,high,p
vhigh,high,3,more,small,low,p
vhigh,high,3,more,small,med,p
vhigh,high,3,more,small,high,p
vhigh,high,3,more,med,low,p
vhigh,high,3,more,med,med,p
vhigh,high,3,more,med,high,p
vhigh,high,3,more,big,low,p
vhigh,high,3,more,big,med,p
vhigh,high,3,more,big,high,p
vhigh,high,4,2,small,low,p
vhigh,high,4,2,small,med,p
vhigh,high,4,2,small,high,p
vhigh,high,4,2,med,low,p
vhigh,high,4,2,med,med,p
vhigh,high,4,2,med,high,p
vhigh,high,4,2,big,low,p
vhigh,high,4,2,big,med,p
vhigh,high,4,2,big,high,p
vhigh,high,4,4,small,low,p
vhigh,high,4,4,small,med,p
vhigh,high,4,4,small,high,p
vhigh,high,4,4,med,low,p
vhigh,high,4,4,med,med,p
vhigh,high,4,4,med,high,p
vhigh,high,4,4,big,low,p
vhigh,high,4,4,big,med,p
vhigh,high,4,4,big,high,p
vhigh,high,4,more,small,low,p
vhigh,high,4,more,small,med,p
vhigh,high,4,more,small,high,p
vhigh,high,4,more,med,low,p
vhigh,high,4,more,med,med,p
vhigh,high,4,more,med,high,p
vhigh,high,4,more,big,low,p
vhigh,high,4,more,big,med,p
vhigh,high,4,more,big,high,p
vhigh,high,5more,2,small,low,p
vhigh,high,5more,2,small,med,p
vhigh,high,5more,2,small,high,p
vhigh,high,5more,2,med,low,p
vhigh,high,5more,2,med,med,p
vhigh,high,5more,2,med,high,p
vhigh,high,5more,2,big,low,p
vhigh,high,5more,2,big,med,p
vhigh,high,5more,2,big,high,p
vhigh,high,5more,4,small,low,p
vhigh,high,5more,4,small,med,p
vhigh,high,5more,4,small,high,p
vhigh,high,5more,4,med,low,p
vhigh,high,5more,4,med,med,p
vhigh,high,5more,4,med,high,p
vhigh,high,5more,4,big,low,p
vhigh,high,5more,4,big,med,p
vhigh,high,5more,4,big,high,p
vhigh,high,5more,more,small,low,p
vhigh,high,5more,more,small,med,p
vhigh,high,5more,more,small,high,p
vhigh,high,5more,more,med,low,p
vhigh,high,5more,more,med,med,p
vhigh,high,5more,more,med,high,p
vhigh,high,5more,more,big,low,p
vhigh,high,5more,more,big,med,p
vhigh,high,5more,more,big,high,p
vhigh,med,2,2,small,low,p
vhigh,med,2,2,small,med,p
vhigh,med,2,2,small,high,p
vhigh,med,2,2,med,low,p
vhigh,med,2,2,med,med,p
vhigh,med,2,2,med,high,p
vhigh,med,2,2,big,low,p
vhigh,med,2,2,big,med,p
vhigh,med,2,2,big,high,p
vhigh,med,2,4,small,low,p
vhigh,med,2,4,small,med,p
vhigh,med,2,4,small,high,n
vhigh,med,2,4,med,low,p
vhigh,med,2,4,med,med,p
vhigh,med,2,4,med,high,n
vhigh,med,2,4,big,low,p
vhigh,med,2,4,big,med,n
vhigh,med,2,4,big,high,n
vhigh,med,2,more,small,low,p
vhigh,med,2,more,small,med,p
vhigh,med,2,more,small,high,p
vhigh,med,2,more,med,low,p
vhigh,med,2,more,med,med,p
vhigh,med,2,more,med,high,n
vhigh,med,2,more,big,low,p
vhigh,med,2,more,big,med,n
vhigh,med,2,more,big,high,n
vhigh,med,3,2,small,low,p
vhigh,med,3,2,small,med,p
vhigh,med,3,2,small,high,p
vhigh,med,3,2,med,low,p
vhigh,med,3,2,med,med,p
vhigh,med,3,2,med,high,p
vhigh,med,3,2,big,low,p
vhigh,med,3,2,big,med,p
vhigh,med,3,2,big,high,p
vhigh,med,3,4,small,low,p
vhigh,med,3,4,small,med,p
vhigh,med,3,4,small,high,n
vhigh,med,3,4,med,low,p
vhigh,med,3,4,med,med,p
vhigh,med,3,4,med,high,n
vhigh,med,3,4,big,low,p
