@relation monks-problems-1-train-pn
@attribute attr1 integer[1,3]
@attribute attr2 integer[1,3]
@attribute attr3 integer[1,2]
@attribute attr4 integer[1,3]
@attribute attr5 integer[1,4]
@attribute attr6 integer[1,2]
@attribute y{n,p}
@inputs attr1, attr2, attr3, attr4, attr5, attr6
@outputs y
@data
1,1,1,1,3,1,n
1,1,1,1,3,2,n
1,1,1,3,2,1,n
1,1,1,3,3,2,n
1,1,2,1,2,1,n
1,1,2,1,2,2,n
1,1,2,2,3,1,n
1,1,2,2,4,1,n
1,1,2,3,1,2,n
1,2,1,1,1,2,n
1,2,1,1,2,1,p
1,2,1,1,3,1,p
1,2,1,1,4,2,p
1,2,1,2,1,1,n
1,2,1,2,3,1,p
1,2,1,2,3,2,p
1,2,1,2,4,2,p
1,2,1,3,2,1,p
1,2,1,3,4,2,p
1,2,2,1,2,2,p
1,2,2,2,3,2,p
1,2,2,2,4,1,p
1,2,2,2,4,2,p
1,2,2,3,2,2,p
1,2,2,3,3,1,p
1,2,2,3,3,2,p
1,3,1,1,2,1,p
1,3,1,1,4,1,p
1,3,1,2,2,1,p
1,3,1,2,4,1,p
1,3,1,3,1,2,n
1,3,1,3,2,2,p
1,3,1,3,3,1,p
1,3,1,3,4,1,p
1,3,1,3,4,2,p
1,3,2,1,2,2,p
1,3,2,2,1,2,n
1,3,2,2,2,2,p
1,3,2,2,3,2,p
1,3,2,2,4,1,p
1,3,2,2,4,2,p
1,3,2,3,1,1,n
1,3,2,3,2,1,p
1,3,2,3,4,1,p
1,3,2,3,4,2,p
2,1,1,1,3,1,p
2,1,1,1,3,2,p
2,1,1,2,1,1,n
2,1,1,2,1,2,n
2,1,1,2,2,2,p
2,1,1,2,3,1,p
2,1,1,2,4,1,p
2,1,1,2,4,2,p
2,1,1,3,4,1,p
2,1,2,1,2,2,p
2,1,2,1,3,1,p
2,1,2,1,4,2,p
2,1,2,2,3,1,p
2,1,2,2,4,2,p
2,1,2,3,2,2,p
2,1,2,3,4,1,p
2,2,1,1,2,1,n
2,2,1,1,2,2,n
2,2,1,1,3,1,n
2,2,1,2,3,2,n
2,2,1,3,1,1,n
2,2,1,3,1,2,n
2,2,1,3,2,2,n
2,2,1,3,3,2,n
2,2,1,3,4,2,n
2,2,2,1,1,1,n
2,2,2,1,3,2,n
2,2,2,1,4,1,n
2,2,2,1,4,2,n
2,2,2,2,2,1,n
2,2,2,3,4,1,n
2,3,1,1,1,1,n
2,3,1,2,1,1,n
2,3,1,2,3,1,p
2,3,1,3,1,2,n
2,3,1,3,3,1,p
2,3,1,3,4,2,p
2,3,2,1,3,2,p
2,3,2,2,1,1,n
2,3,2,2,1,2,n
2,3,2,2,2,1,p
2,3,2,3,3,2,p
3,1,1,1,1,1,n
3,1,1,1,1,2,n
3,1,1,2,1,1,n
3,1,1,2,2,2,p
3,1,1,3,2,2,p
3,1,2,1,1,1,n
3,1,2,1,2,2,p
3,1,2,2,2,2,p
3,1,2,2,3,2,p
3,1,2,3,2,2,p
3,2,1,1,1,1,n
3,2,1,1,4,2,p
3,2,1,2,1,2,n
3,2,1,2,4,2,p
3,2,2,1,1,1,n
3,2,2,1,1,2,n
3,2,2,1,3,2,p
3,2,2,3,1,1,n
3,2,2,3,2,1,p
3,2,2,3,4,1,p
3,3,1,1,1,1,n
3,3,1,1,2,1,n
3,3,1,1,4,2,n
3,3,1,2,3,2,n
3,3,1,2,4,2,n
3,3,1,3,1,2,n
3,3,1,3,2,1,n
3,3,1,3,2,2,n
3,3,1,3,4,2,n
3,3,2,1,1,1,n
3,3,2,1,3,2,n
3,3,2,1,4,1,n
3,3,2,1,4,2,n
3,3,2,3,1,2,n
3,3,2,3,2,2,n
3,3,2,3,3,2,n
3,3,2,3,4,2,n
