@relation soybean-pn
@attribute date{october,august,july,september,may,april,june}
@attribute plant-stand{normal,lt-normal}
@attribute precip{gt-norm,lt-norm,norm}
@attribute temp{norm,gt-norm,lt-norm}
@attribute hail{yes,no}
@attribute crop-hist{same-lst-yr,same-lst-two-yrs,same-lst-sev-yrs,diff-lst-year}
@attribute area-damaged{low-areas,scattered,whole-field,upper-areas}
@attribute severity{pot-severe,severe,minor}
@attribute seed-tmt{none,fungicide,other}
@attribute germination{90-100,80-89,lt-80}
@attribute plant-growth{abnorm,norm}
@attribute leaves{abnorm,norm}
@attribute leafspots-halo{absent,no-yellow-halos,yellow-halos}
@attribute leafspots-marg{dna,w-s-marg,no-w-s-marg}
@attribute leafspot-size{dna,gt-1/8,lt-1/8}
@attribute leaf-shread{absent,present}
@attribute leaf-malf{absent,present}
@attribute leaf-mild{absent,upper-surf,lower-surf}
@attribute stem{abnorm,norm}
@attribute lodging{no,yes}
@attribute stem-cankers{above-sec-nde,absent,below-soil,above-soil}
@attribute canker-lesion{brown,dna,tan,dk-brown-blk}
@attribute fruiting-bodies{present,absent}
@attribute external-decay{firm-and-dry,absent,watery}
@attribute mycelium{absent,present}
@attribute int-discolor{none,black,brown}
@attribute sclerotia{absent,present}
@attribute fruit-pods{norm,dna,diseased,few-present}
@attribute fruit-spots{dna,absent,colored,brown-w/blk-specks}
@attribute seed{norm,abnorm}
@attribute mold-growth{absent,present}
@attribute seed-discolor{absent,present}
@attribute seed-size{norm,lt-norm}
@attribute shriveling{absent,present}
@attribute roots{norm,rotted,galls-cysts}
@attribute y{n,p}
@inputs date, plant-stand, precip, temp, hail, crop-hist, area-damaged, severity, seed-tmt, germination, plant-growth, leaves, leafspots-halo, leafspots-marg, leafspot-size, leaf-shread, leaf-malf, leaf-mild, stem, lodging, stem-cankers, canker-lesion, fruiting-bodies, external-decay, mycelium, int-discolor, sclerotia, fruit-pods, fruit-spots, seed, mold-growth, seed-discolor, seed-size, shriveling, roots
@outputs y
@data
october,normal,gt-norm,norm,yes,same-lst-yr,low-areas,pot-severe,none,90-100,abnorm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,no,above-sec-nde,brown,present,firm-and-dry,absent,none,absent,norm,dna,norm,absent,absent,norm,absent,norm,n
august,normal,gt-norm,norm,yes,same-lst-two-yrs,scattered,severe,fungicide,80-89,abnorm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,above-sec-nde,brown,present,firm-and-dry,absent,none,absent,norm,dna,norm,absent,absent,norm,absent,norm,n
july,normal,gt-norm,norm,yes,same-lst-yr,scattered,severe,fungicide,lt-80,abnorm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,above-sec-nde,dna,present,firm-and-dry,absent,none,absent,norm,dna,norm,absent,absent,norm,absent,norm,n
july,normal,gt-norm,norm,yes,same-lst-yr,scattered,severe,none,80-89,abnorm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,above-sec-nde,dna,present,firm-and-dry,absent,none,absent,norm,dna,norm,absent,absent,norm,absent,norm,n
october,normal,gt-norm,norm,yes,same-lst-two-yrs,scattered,pot-severe,none,lt-80,abnorm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,above-sec-nde,brown,present,firm-and-dry,absent,none,absent,norm,dna,norm,absent,absent,norm,absent,norm,n
september,normal,gt-norm,norm,yes,same-lst-sev-yrs,scattered,pot-severe,none,80-89,abnorm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,above-sec-nde,dna,present,firm-and-dry,absent,none,absent,norm,dna,norm,absent,absent,norm,absent,norm,n
september,normal,gt-norm,norm,yes,same-lst-two-yrs,scattered,pot-severe,fungicide,90-100,abnorm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,no,above-sec-nde,brown,present,firm-and-dry,absent,none,absent,norm,dna,norm,absent,absent,norm,absent,norm,n
august,normal,gt-norm,norm,no,same-lst-yr,scattered,pot-severe,none,lt-80,abnorm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,above-sec-nde,brown,present,firm-and-dry,absent,none,absent,norm,dna,norm,absent,absent,norm,absent,norm,n
october,normal,gt-norm,norm,yes,same-lst-sev-yrs,scattered,pot-severe,fungicide,80-89,abnorm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,above-sec-nde,brown,present,firm-and-dry,absent,none,absent,norm,dna,norm,absent,absent,norm,absent,norm,n
august,normal,gt-norm,norm,yes,same-lst-two-yrs,scattered,severe,none,lt-80,abnorm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,above-sec-nde,brown,present,firm-and-dry,absent,none,absent,norm,dna,norm,absent,absent,norm,absent,norm,n
