--------------------------------------------
|              Measures file               |
--------------------------------------------

MEASURES USED AS OBJECTIVES:
	COMP	UNUS	

CLASS	COMP	UNUS	FCNF
0	1,000000	0,427422	0,826087
0	1,000000	0,427422	0,826087
0	0,982456	0,429693	0,888889
0	0,982456	0,429693	0,888889
0	1,000000	0,427422	0,826087
0	0,982456	0,429693	0,888889
0	0,982456	0,429693	0,888889
0	0,982456	0,429693	0,888889
0	1,000000	0,427422	0,826087
0	0,982456	0,429693	0,888889
0	0,982456	0,429693	0,888889
0	1,000000	0,427422	0,826087
0	1,000000	0,427422	0,826087
0	1,000000	0,427422	0,826087
0	1,000000	0,427422	0,826087
0	1,000000	0,427422	0,826087
0	0,982456	0,429693	0,888889
0	0,982456	0,429693	0,888889
0	0,982456	0,429693	0,888889
0	1,000000	0,427422	0,826087
0	1,000000	0,427422	0,826087
0	0,982456	0,429693	0,888889
0	1,000000	0,427422	0,826087
0	0,982456	0,429693	0,888889
0	0,982456	0,429693	0,888889
0	0,982456	0,429693	0,888889
0	1,000000	0,427422	0,826087
0	0,982456	0,429693	0,888889
0	0,982456	0,429693	0,888889
0	0,982456	0,429693	0,888889
0	1,000000	0,427422	0,826087
0	0,982456	0,429693	0,888889
0	0,982456	0,429693	0,888889
0	1,000000	0,427422	0,826087
0	1,000000	0,427422	0,826087
0	1,000000	0,427422	0,826087
0	0,982456	0,429693	0,888889
0	1,000000	0,427422	0,826087
0	0,982456	0,429693	0,888889
0	0,982456	0,429693	0,888889
0	0,982456	0,429693	0,888889
0	1,000000	0,427422	0,826087
0	0,982456	0,429693	0,888889
0	0,982456	0,429693	0,888889
0	0,982456	0,429693	0,888889
0	0,982456	0,429693	0,888889
0	0,982456	0,429693	0,888889
0	0,982456	0,429693	0,888889
0	1,000000	0,427422	0,826087
1	0,792899	0,897329	1,000000
1	0,792899	0,897329	1,000000
1	0,792899	0,897329	1,000000
1	0,852071	0,815843	0,837209
1	0,792899	0,897329	1,000000
1	0,792899	0,897329	1,000000
1	0,958580	0,792916	0,798030
1	0,964497	0,790724	0,795122
1	0,792899	0,897329	1,000000
1	0,958580	0,792916	0,798030
1	0,792899	0,897329	1,000000
1	0,792899	0,897329	1,000000
1	1,000000	0,757714	0,757848
1	0,988166	0,772026	0,773148
1	0,988166	0,772026	0,773148
1	0,792899	0,897329	1,000000
1	0,852071	0,815843	0,837209
1	0,946746	0,803920	0,812183
1	0,940828	0,809421	0,819588
1	0,792899	0,897329	1,000000
1	0,982249	0,780836	0,783019
1	0,828402	0,821306	0,848485
1	0,792899	0,897329	1,000000
1	0,792899	0,897329	1,000000
1	0,852071	0,815843	0,837209
1	0,852071	0,815843	0,837209
1	0,952663	0,798418	0,805000
