Number 	Class 	Size 	NVar    	Coverage 	Significance 	Unusualness 	Accuracy 	Support  	CSupport  	FSupport 	FConfidence 	CConfidence
000   	000	-	29,000000	0,305310	43,536858	0,175210	0,816901	1,000000	0,252212	0,252212	0,826087	0,826087
001   	000	-	24,000000	0,305310	43,536858	0,175210	0,816901	1,000000	0,252212	0,252212	0,826087	0,826087
002   	000	-	26,000000	0,278761	49,680786	0,177481	0,876923	0,982456	0,247788	0,247788	0,888889	0,888889
003   	000	-	30,000000	0,278761	49,680786	0,177481	0,876923	0,982456	0,247788	0,247788	0,888889	0,888889
004   	000	-	29,000000	0,305310	43,536858	0,175210	0,816901	1,000000	0,252212	0,252212	0,826087	0,826087
005   	000	-	27,000000	0,278761	49,680786	0,177481	0,876923	0,982456	0,247788	0,247788	0,888889	0,888889
006   	000	-	25,000000	0,278761	49,680786	0,177481	0,876923	0,982456	0,247788	0,247788	0,888889	0,888889
007   	000	-	30,000000	0,278761	49,680786	0,177481	0,876923	0,982456	0,247788	0,247788	0,888889	0,888889
008   	000	-	24,000000	0,305310	43,536858	0,175210	0,816901	1,000000	0,252212	0,252212	0,826087	0,826087
009   	000	-	30,000000	0,278761	49,680786	0,177481	0,876923	0,982456	0,247788	0,247788	0,888889	0,888889
010   	000	-	28,000000	0,278761	49,680786	0,177481	0,876923	0,982456	0,247788	0,247788	0,888889	0,888889
011   	000	-	27,000000	0,305310	43,536858	0,175210	0,816901	1,000000	0,252212	0,252212	0,826087	0,826087
012   	000	-	30,000000	0,305310	43,536858	0,175210	0,816901	1,000000	0,252212	0,252212	0,826087	0,826087
013   	000	-	26,000000	0,305310	43,536858	0,175210	0,816901	1,000000	0,252212	0,252212	0,826087	0,826087
014   	000	-	30,000000	0,305310	43,536858	0,175210	0,816901	1,000000	0,252212	0,252212	0,826087	0,826087
015   	000	-	31,000000	0,305310	43,536858	0,175210	0,816901	1,000000	0,252212	0,252212	0,826087	0,826087
016   	000	-	29,000000	0,278761	49,680786	0,177481	0,876923	0,982456	0,247788	0,247788	0,888889	0,888889
017   	000	-	25,000000	0,278761	49,680786	0,177481	0,876923	0,982456	0,247788	0,247788	0,888889	0,888889
018   	000	-	31,000000	0,278761	49,680786	0,177481	0,876923	0,982456	0,247788	0,247788	0,888889	0,888889
019   	000	-	28,000000	0,305310	43,536858	0,175210	0,816901	1,000000	0,252212	0,252212	0,826087	0,826087
020   	000	-	25,000000	0,305310	43,536858	0,175210	0,816901	1,000000	0,252212	0,252212	0,826087	0,826087
021   	000	-	27,000000	0,278761	49,680786	0,177481	0,876923	0,982456	0,247788	0,247788	0,888889	0,888889
022   	000	-	30,000000	0,305310	43,536858	0,175210	0,816901	1,000000	0,252212	0,252212	0,826087	0,826087
023   	000	-	24,000000	0,278761	49,680786	0,177481	0,876923	0,982456	0,247788	0,247788	0,888889	0,888889
024   	000	-	24,000000	0,278761	49,680786	0,177481	0,876923	0,982456	0,247788	0,247788	0,888889	0,888889
025   	000	-	20,000000	0,278761	49,680786	0,177481	0,876923	0,982456	0,247788	0,247788	0,888889	0,888889
026   	000	-	26,000000	0,305310	43,536858	0,175210	0,816901	1,000000	0,252212	0,252212	0,826087	0,826087
027   	000	-	25,000000	0,278761	49,680786	0,177481	0,876923	0,982456	0,247788	0,247788	0,888889	0,888889
028   	000	-	31,000000	0,278761	49,680786	0,177481	0,876923	0,982456	0,247788	0,247788	0,888889	0,888889
029   	000	-	31,000000	0,278761	49,680786	0,177481	0,876923	0,982456	0,247788	0,247788	0,888889	0,888889
030   	000	-	28,000000	0,305310	43,536858	0,175210	0,816901	1,000000	0,252212	0,252212	0,826087	0,826087
031   	000	-	29,000000	0,278761	49,680786	0,177481	0,876923	0,982456	0,247788	0,247788	0,888889	0,888889
032   	000	-	25,000000	0,278761	49,680786	0,177481	0,876923	0,982456	0,247788	0,247788	0,888889	0,888889
033   	000	-	26,000000	0,305310	43,536858	0,175210	0,816901	1,000000	0,252212	0,252212	0,826087	0,826087
034   	000	-	29,000000	0,305310	43,536858	0,175210	0,816901	1,000000	0,252212	0,252212	0,826087	0,826087
035   	000	-	31,000000	0,305310	43,536858	0,175210	0,816901	1,000000	0,252212	0,252212	0,826087	0,826087
036   	000	-	28,000000	0,278761	49,680786	0,177481	0,876923	0,982456	0,247788	0,247788	0,888889	0,888889
037   	000	-	25,000000	0,305310	43,536858	0,175210	0,816901	1,000000	0,252212	0,252212	0,826087	0,826087
038   	000	-	27,000000	0,278761	49,680786	0,177481	0,876923	0,982456	0,247788	0,247788	0,888889	0,888889
039   	000	-	33,000000	0,278761	49,680786	0,177481	0,876923	0,982456	0,247788	0,247788	0,888889	0,888889
040   	000	-	29,000000	0,278761	49,680786	0,177481	0,876923	0,982456	0,247788	0,247788	0,888889	0,888889
041   	000	-	30,000000	0,305310	43,536858	0,175210	0,816901	1,000000	0,252212	0,252212	0,826087	0,826087
042   	000	-	22,000000	0,278761	49,680786	0,177481	0,876923	0,982456	0,247788	0,247788	0,888889	0,888889
043   	000	-	23,000000	0,278761	49,680786	0,177481	0,876923	0,982456	0,247788	0,247788	0,888889	0,888889
044   	000	-	24,000000	0,278761	49,680786	0,177481	0,876923	0,982456	0,247788	0,247788	0,888889	0,888889
045   	000	-	25,000000	0,278761	49,680786	0,177481	0,876923	0,982456	0,247788	0,247788	0,888889	0,888889
046   	000	-	27,000000	0,278761	49,680786	0,177481	0,876923	0,982456	0,247788	0,247788	0,888889	0,888889
047   	000	-	29,000000	0,278761	49,680786	0,177481	0,876923	0,982456	0,247788	0,247788	0,888889	0,888889
048   	000	-	27,000000	0,305310	43,536858	0,175210	0,816901	1,000000	0,252212	0,252212	0,826087	0,826087
049   	001	-	3,000000	0,592920	33,827415	0,149542	0,992647	0,792899	0,592920	0,592920	1,000000	1,000000
050   	001	-	2,000000	0,592920	33,827415	0,149542	0,992647	0,792899	0,592920	0,592920	1,000000	1,000000
051   	001	-	4,000000	0,592920	33,827415	0,149542	0,992647	0,792899	0,592920	0,592920	1,000000	1,000000
052   	001	-	11,000000	0,761062	3,480391	0,068055	0,833333	0,852071	0,637168	0,637168	0,837209	0,837209
