Number 	Class 	Size 	NVar    	Coverage 	Significance 	Unusualness 	Accuracy 	Support  	CSupport  	FSupport 	FConfidence 	CConfidence
000   	000	-	2,000000	0,968750	0,020583	0,018555	0,606061	1,000000	0,593750	0,593750	0,612903	0,612903
001   	000	-	3,000000	0,750000	0,590866	0,085937	0,692308	0,894737	0,531250	0,531250	0,708333	0,708333
002   	000	-	3,000000	0,250000	3,622342	0,101562	0,900000	0,421053	0,250000	0,250000	1,000000	1,000000
003   	000	-	4,000000	0,312500	2,033913	0,095703	0,833333	0,473684	0,281250	0,281250	0,900000	0,900000
004   	001	-	4,000000	0,312500	2,818451	0,123047	0,750000	0,615385	0,250000	0,250000	0,800000	0,800000
005   	001	-	5,000000	0,312500	2,818451	0,123047	0,750000	0,615385	0,250000	0,250000	0,800000	0,800000
006   	001	-	6,000000	0,312500	2,818451	0,123047	0,750000	0,615385	0,250000	0,250000	0,800000	0,800000
007   	001	-	7,000000	0,312500	2,818451	0,123047	0,750000	0,615385	0,250000	0,250000	0,800000	0,800000
008   	001	-	4,000000	0,562500	1,328297	0,115234	0,600000	0,846154	0,343750	0,343750	0,611111	0,611111
009   	001	-	5,000000	0,468750	1,795059	0,122070	0,647059	0,769231	0,312500	0,312500	0,666667	0,666667
-    	- 	010	4,300000	0,456250	2,066486	0,103125	0,727876	0,686640	1,000000	0,331250	0,769902	0,769902
