Number 	Class 	Size 	NVar    	Coverage 	Significance 	Unusualness 	Accuracy 	Support  	CSupport  	FSupport 	FConfidence 	CConfidence
000   	000	-	6,000000	0,411620	1735,373535	0,201391	0,971010	0,829418	0,399803	0,399803	0,971292	0,971292
001   	000	-	3,000000	0,584441	376,525818	0,123502	0,693263	0,840654	0,405219	0,405219	0,693345	0,693345
002   	000	-	4,000000	0,518956	647,762573	0,150636	0,772167	0,831461	0,400788	0,400788	0,772296	0,772296
003   	000	-	5,000000	0,642048	289,522980	0,113951	0,659448	0,878447	0,423437	0,423437	0,659509	0,659509
004   	000	-	5,000000	0,642048	289,522980	0,113951	0,659448	0,878447	0,423437	0,423437	0,659509	0,659509
005   	000	-	5,000000	0,672575	266,617279	0,112038	0,648555	0,905005	0,436238	0,436238	0,648609	0,648609
006   	000	-	6,000000	0,672575	266,617279	0,112038	0,648555	0,905005	0,436238	0,436238	0,648609	0,648609
007   	000	-	3,000000	0,559823	469,230530	0,134384	0,721978	0,838611	0,404234	0,404234	0,722076	0,722076
008   	000	-	4,000000	0,672575	266,617279	0,112038	0,648555	0,905005	0,436238	0,436238	0,648609	0,648609
009   	000	-	5,000000	0,518956	647,762573	0,150636	0,772167	0,831461	0,400788	0,400788	0,772296	0,772296
010   	000	-	2,000000	0,584441	376,525818	0,123502	0,693263	0,840654	0,405219	0,405219	0,693345	0,693345
011   	000	-	4,000000	0,559823	469,230530	0,134384	0,721978	0,838611	0,404234	0,404234	0,722076	0,722076
012   	000	-	6,000000	0,642048	289,522980	0,113951	0,659448	0,878447	0,423437	0,423437	0,659509	0,659509
013   	000	-	6,000000	0,411620	1735,373535	0,201391	0,971010	0,829418	0,399803	0,399803	0,971292	0,971292
014   	000	-	5,000000	0,411620	1735,373535	0,201391	0,971010	0,829418	0,399803	0,399803	0,971292	0,971292
015   	000	-	5,000000	0,672575	266,617279	0,112038	0,648555	0,905005	0,436238	0,436238	0,648609	0,648609
016   	000	-	5,000000	0,672575	266,617279	0,112038	0,648555	0,905005	0,436238	0,436238	0,648609	0,648609
017   	000	-	4,000000	0,672575	266,617279	0,112038	0,648555	0,905005	0,436238	0,436238	0,648609	0,648609
018   	001	-	2,000000	0,690793	328,496704	0,124710	0,698433	0,931559	0,482521	0,482521	0,698503	0,698503
019   	001	-	3,000000	0,690793	328,496704	0,124710	0,698433	0,931559	0,482521	0,482521	0,698503	0,698503
020   	001	-	2,000000	0,434269	1568,513184	0,194559	0,965722	0,809886	0,419498	0,419498	0,965986	0,965986
021   	001	-	3,000000	0,434269	1568,513184	0,194559	0,965722	0,809886	0,419498	0,419498	0,965986	0,965986
-    	- 	022	4,227273	0,580592	657,065979	0,139720	0,749356	0,866271	0,947809	0,423258	0,749476	0,749476
