--------------------------------------------
|              Measures file               |
--------------------------------------------

MEASURES USED AS OBJECTIVES:
	COMP	UNUS	

CLASS	COMP	UNUS	FCNF
1	0,984314	0,755945	0,756024
1	0,717647	0,859347	0,938462
1	0,854902	0,807268	0,822641
1	0,843137	0,838359	0,870445
1	0,752941	0,854831	0,918660
1	0,807843	0,847313	0,891775
1	0,882353	0,792414	0,800712
1	0,866667	0,807241	0,821561
1	0,968627	0,775211	0,776730
1	0,956863	0,777456	0,779553
1	0,929412	0,785653	0,790000
1	0,898039	0,790900	0,797909
1	0,917647	0,787898	0,793220
