--------------------------------------------
|              Measures file               |
--------------------------------------------

MEASURES USED AS OBJECTIVES:
	COMP	UNUS	

CLASS	COMP	UNUS	FCNF
0	1,000000	0,680000	0,692308
0	0,444444	0,706667	1,000000
0	1,000000	0,680000	0,789474
0	0,555556	0,693333	0,833333
0	1,000000	0,680000	0,833333
0	0,555556	0,693333	0,833333
0	0,444444	0,706667	1,000000
0	1,000000	0,680000	0,833333
0	0,444444	0,706667	1,000000
0	0,555556	0,693333	0,833333
0	0,444444	0,706667	1,000000
0	0,444444	0,706667	1,000000
0	0,444444	0,706667	1,000000
0	1,000000	0,680000	0,882353
0	0,444444	0,706667	1,000000
0	0,555556	0,693333	0,833333
0	0,555556	0,693333	0,833333
0	0,555556	0,693333	0,833333
0	0,555556	0,693333	0,833333
0	0,555556	0,693333	0,833333
0	0,444444	0,706667	1,000000
