Number 	Class 	Size 	NVar    	Coverage 	Significance 	Unusualness 	Accuracy 	Support  	CSupport  	FSupport 	FConfidence 	CConfidence
000   	000	-	3,000000	0,866667	0,207115	0,080000	0,666667	1,000000	0,600000	0,600000	0,692308	0,692308
001   	000	-	4,000000	0,266667	1,774790	0,106667	0,833333	0,444444	0,266667	0,177778	1,000000	1,000000
002   	000	-	2,000000	0,200000	1,331092	0,080000	0,800000	1,000000	0,200000	0,333333	0,789474	1,000000
003   	000	-	2,000000	0,400000	0,666252	0,093333	0,750000	0,555556	0,333333	0,222222	0,833333	0,833333
004   	000	-	3,000000	0,200000	1,331092	0,080000	0,800000	1,000000	0,200000	0,333333	0,833333	1,000000
005   	000	-	3,000000	0,400000	0,666252	0,093333	0,750000	0,555556	0,333333	0,222222	0,833333	0,833333
006   	000	-	3,000000	0,266667	1,774790	0,106667	0,833333	0,444444	0,266667	0,177778	1,000000	1,000000
007   	000	-	3,000000	0,200000	1,331092	0,080000	0,800000	1,000000	0,200000	0,333333	0,833333	1,000000
008   	000	-	6,000000	0,266667	1,774790	0,106667	0,833333	0,444444	0,266667	0,177778	1,000000	1,000000
009   	000	-	5,000000	0,400000	0,666252	0,093333	0,750000	0,555556	0,333333	0,222222	0,833333	0,833333
010   	000	-	4,000000	0,266667	1,774790	0,106667	0,833333	0,444444	0,266667	0,177778	1,000000	1,000000
011   	000	-	5,000000	0,266667	1,774790	0,106667	0,833333	0,444444	0,266667	0,177778	1,000000	1,000000
012   	000	-	5,000000	0,266667	1,774790	0,106667	0,833333	0,444444	0,266667	0,177778	1,000000	1,000000
013   	000	-	4,000000	0,200000	1,331092	0,080000	0,800000	1,000000	0,200000	0,333333	0,882353	1,000000
014   	000	-	5,000000	0,266667	1,774790	0,106667	0,833333	0,444444	0,266667	0,177778	1,000000	1,000000
015   	000	-	4,000000	0,400000	0,666252	0,093333	0,750000	0,555556	0,333333	0,222222	0,833333	0,833333
016   	000	-	3,000000	0,400000	0,666252	0,093333	0,750000	0,555556	0,333333	0,222222	0,833333	0,833333
017   	000	-	4,000000	0,400000	0,666252	0,093333	0,750000	0,555556	0,333333	0,222222	0,833333	0,833333
018   	000	-	3,000000	0,400000	0,666252	0,093333	0,750000	0,555556	0,333333	0,222222	0,833333	0,833333
019   	000	-	4,000000	0,400000	0,666252	0,093333	0,750000	0,555556	0,333333	0,222222	0,833333	0,833333
020   	000	-	4,000000	0,266667	1,774790	0,106667	0,833333	0,444444	0,266667	0,177778	1,000000	1,000000
-    	- 	021	3,761905	0,333333	1,193325	0,095238	0,787302	0,619048	0,600000	0,244444	0,890356	0,921856
