Number 	Class 	Size 	NVar    	Coverage 	Significance 	Unusualness 	Accuracy 	Support  	CSupport  	FSupport 	FConfidence 	CConfidence
000   	000	-	2,000000	0,922222	0,024554	0,010864	0,717647	0,937500	0,666667	0,666667	0,722892	0,722892
001   	000	-	2,000000	0,755556	0,085540	0,018272	0,728571	0,781250	0,555556	0,555556	0,730994	0,735294
002   	000	-	4,000000	0,055556	1,480625	0,016049	0,857143	0,078125	0,055556	0,055556	1,000000	1,000000
003   	001	-	6,000000	0,011111	1,078538	0,007901	0,666667	0,038462	0,011111	0,011111	1,000000	1,000000
004   	001	-	7,000000	0,022222	2,157077	0,015802	0,750000	0,076923	0,022222	0,022222	1,000000	1,000000
005   	001	-	4,000000	0,022222	2,157077	0,015802	0,750000	0,076923	0,022222	0,022222	1,000000	1,000000
006   	001	-	6,000000	0,022222	2,157077	0,015802	0,750000	0,076923	0,022222	0,022222	1,000000	1,000000
007   	001	-	5,000000	0,022222	2,157077	0,015802	0,750000	0,076923	0,022222	0,022222	1,000000	1,000000
008   	001	-	4,000000	0,033333	3,235615	0,023704	0,800000	0,115385	0,033333	0,033333	1,000000	1,000000
-    	- 	009	4,444445	0,207407	1,614798	0,015556	0,752225	0,250935	0,833333	0,156790	0,939321	0,939798
