--------------------------------------------
|              Measures file               |
--------------------------------------------

MEASURES USED AS OBJECTIVES:
	COMP	UNUS	

CLASS	COMP	UNUS	FCNF
0	1.000000	0.427422	0.826087
0	0.982456	0.429693	0.888889
0	1.000000	0.427422	0.826087
0	0.982456	0.429693	0.888889
0	1.000000	0.427422	0.826087
0	0.982456	0.429693	0.888889
0	0.982456	0.429693	0.888889
0	1.000000	0.427422	0.826087
0	1.000000	0.427422	0.826087
0	0.982456	0.429693	0.888889
0	0.982456	0.429693	0.888889
0	1.000000	0.427422	0.826087
0	0.982456	0.429693	0.888889
0	1.000000	0.427422	0.826087
0	1.000000	0.427422	0.826087
0	1.000000	0.427422	0.826087
0	0.982456	0.429693	0.888889
0	1.000000	0.427422	0.826087
0	0.982456	0.429693	0.888889
0	1.000000	0.427422	0.826087
0	0.982456	0.429693	0.888889
0	1.000000	0.427422	0.826087
0	0.982456	0.429693	0.888889
0	0.982456	0.429693	0.888889
0	1.000000	0.427422	0.826087
0	0.982456	0.429693	0.888889
0	1.000000	0.427422	0.826087
0	1.000000	0.427422	0.826087
0	0.982456	0.429693	0.888889
0	1.000000	0.427422	0.826087
0	0.982456	0.429693	0.888889
0	1.000000	0.427422	0.826087
0	1.000000	0.427422	0.826087
0	1.000000	0.427422	0.826087
0	1.000000	0.427422	0.826087
0	1.000000	0.427422	0.826087
0	0.982456	0.429693	0.888889
0	0.982456	0.429693	0.888889
0	1.000000	0.427422	0.826087
0	1.000000	0.427422	0.826087
0	0.982456	0.429693	0.888889
0	0.982456	0.429693	0.888889
0	0.982456	0.429693	0.888889
0	0.982456	0.429693	0.888889
0	0.982456	0.429693	0.888889
0	0.982456	0.429693	0.888889
0	1.000000	0.427422	0.826087
0	0.982456	0.429693	0.888889
1	0.792899	0.897329	1.000000
1	0.792899	0.897329	1.000000
1	0.988166	0.778644	0.780374
1	1.000000	0.754405	0.754464
1	0.792899	0.897329	1.000000
1	0.940828	0.809421	0.819588
1	0.792899	0.897329	1.000000
1	0.976331	0.789647	0.793269
1	0.940828	0.809421	0.819588
1	0.792899	0.897329	1.000000
1	0.792899	0.897329	1.000000
1	0.964497	0.794032	0.799020
1	0.792899	0.897329	1.000000
1	0.792899	0.897329	1.000000
1	0.994083	0.756598	0.756757
1	0.869823	0.815882	0.835227
1	0.792899	0.897329	1.000000
1	0.905325	0.812652	0.827027
1	0.792899	0.897329	1.000000
1	0.988166	0.778644	0.780374
1	0.792899	0.897329	1.000000
1	0.792899	0.897329	1.000000
1	0.792899	0.897329	1.000000
1	0.816568	0.819073	0.846626
1	0.863905	0.818075	0.839080
1	0.792899	0.897329	1.000000
1	0.958580	0.799534	0.805970
1	0.792899	0.897329	1.000000
1	0.792899	0.897329	1.000000
1	0.994083	0.756598	0.756757
1	0.792899	0.897329	1.000000
1	0.952663	0.808344	0.817259
1	1.000000	0.754405	0.754464
1	0.792899	0.897329	1.000000
1	0.792899	0.897329	1.000000
1	0.994083	0.756598	0.756757
1	0.792899	0.897329	1.000000
1	0.994083	0.756598	0.756757
1	0.994083	0.756598	0.756757
1	0.911243	0.810459	0.823529
1	0.792899	0.897329	1.000000
1	0.970414	0.791840	0.796117
