--------------------------------------------
|              Measures file               |
--------------------------------------------

MEASURES USED AS OBJECTIVES:
	COMP	UNUS	

CLASS	COMP	UNUS	FCNF
0	0.846154	0.521484	0.611111
0	0.846154	0.521484	0.611111
0	0.615385	0.529297	0.800000
0	0.615385	0.529297	0.800000
0	0.615385	0.529297	0.800000
0	0.615385	0.529297	0.800000
0	0.769231	0.528320	0.666667
1	0.894737	0.679688	0.708333
1	1.000000	0.612305	0.612903
1	0.368421	0.682617	1.000000
1	0.368421	0.682617	1.000000
1	0.368421	0.682617	1.000000
1	0.368421	0.682617	1.000000
1	0.368421	0.682617	1.000000
1	0.368421	0.682617	1.000000
1	0.368421	0.682617	1.000000
