Number 	Class 	Size 	NVar    	Coverage 	Significance 	Unusualness 	Accuracy 	Support  	CSupport  	FSupport 	FConfidence 	CConfidence
000   	000	-	4.000000	0.562500	1.328297	0.115234	0.600000	0.846154	0.343750	0.343750	0.611111	0.611111
001   	000	-	5.000000	0.562500	1.328297	0.115234	0.600000	0.846154	0.343750	0.343750	0.611111	0.611111
002   	000	-	6.000000	0.312500	2.818451	0.123047	0.750000	0.615385	0.250000	0.250000	0.800000	0.800000
003   	000	-	6.000000	0.312500	2.818451	0.123047	0.750000	0.615385	0.250000	0.250000	0.800000	0.800000
004   	000	-	8.000000	0.312500	2.818451	0.123047	0.750000	0.615385	0.250000	0.250000	0.800000	0.800000
005   	000	-	7.000000	0.312500	2.818451	0.123047	0.750000	0.615385	0.250000	0.250000	0.800000	0.800000
006   	000	-	5.000000	0.468750	1.795059	0.122070	0.647059	0.769231	0.312500	0.312500	0.666667	0.666667
007   	001	-	3.000000	0.750000	0.590866	0.085937	0.692308	0.894737	0.531250	0.531250	0.708333	0.708333
008   	001	-	2.000000	0.968750	0.020583	0.018555	0.606061	1.000000	0.593750	0.593750	0.612903	0.612903
009   	001	-	7.000000	0.218750	3.169549	0.088867	0.888889	0.368421	0.218750	0.218750	1.000000	1.000000
010   	001	-	6.000000	0.218750	3.169549	0.088867	0.888889	0.368421	0.218750	0.218750	1.000000	1.000000
011   	001	-	5.000000	0.218750	3.169549	0.088867	0.888889	0.368421	0.218750	0.218750	1.000000	1.000000
012   	001	-	4.000000	0.218750	3.169549	0.088867	0.888889	0.368421	0.218750	0.218750	1.000000	1.000000
013   	001	-	6.000000	0.218750	3.169549	0.088867	0.888889	0.368421	0.218750	0.218750	1.000000	1.000000
014   	001	-	5.000000	0.218750	3.169549	0.088867	0.888889	0.368421	0.218750	0.218750	1.000000	1.000000
015   	001	-	6.000000	0.218750	3.169549	0.088867	0.888889	0.368421	0.218750	0.218750	1.000000	1.000000
-    	- 	016	5.312500	0.380859	2.407734	0.098206	0.772978	0.587297	1.000000	0.291016	0.838133	0.838133
