--------------------------------------------
|              Measures file               |
--------------------------------------------

MEASURES USED AS OBJECTIVES:
	COMP	UNUS	

CLASS	COMP	UNUS	FCNF
0	0.809886	0.712530	0.965986
0	0.931559	0.642681	0.698503
0	0.931559	0.642681	0.698503
0	0.809886	0.712530	0.965986
1	0.829418	0.683419	0.971292
1	0.829418	0.683419	0.971292
1	0.831461	0.632665	0.772296
1	0.840654	0.605530	0.693345
1	0.878447	0.595980	0.659509
1	0.905005	0.594067	0.648609
1	0.878447	0.595980	0.659509
1	0.905005	0.594067	0.648609
1	0.838611	0.616412	0.722076
1	0.840654	0.605530	0.693345
1	0.838611	0.616412	0.722076
1	0.878447	0.595980	0.659509
1	0.831461	0.632665	0.772296
1	0.905005	0.594067	0.648609
1	0.878447	0.595980	0.659509
1	0.829418	0.683419	0.971292
1	0.905005	0.594067	0.648609
1	0.878447	0.595980	0.659509
