Number 	Class 	Size 	NVar    	Coverage 	Significance 	Unusualness 	Accuracy 	Support  	CSupport  	FSupport 	FConfidence 	CConfidence
000   	000	-	3.000000	0.434269	1568.513184	0.194559	0.965722	0.809886	0.419498	0.419498	0.965986	0.965986
001   	000	-	3.000000	0.690793	328.496704	0.124710	0.698433	0.931559	0.482521	0.482521	0.698503	0.698503
002   	000	-	2.000000	0.690793	328.496704	0.124710	0.698433	0.931559	0.482521	0.482521	0.698503	0.698503
003   	000	-	2.000000	0.434269	1568.513184	0.194559	0.965722	0.809886	0.419498	0.419498	0.965986	0.965986
004   	001	-	5.000000	0.411620	1735.373413	0.201391	0.971010	0.829418	0.399803	0.399803	0.971292	0.971292
005   	001	-	6.000000	0.411620	1735.373413	0.201391	0.971010	0.829418	0.399803	0.399803	0.971292	0.971292
006   	001	-	4.000000	0.518956	647.762573	0.150636	0.772167	0.831461	0.400788	0.400788	0.772296	0.772296
007   	001	-	3.000000	0.584441	376.525848	0.123502	0.693263	0.840654	0.405219	0.405219	0.693345	0.693345
008   	001	-	6.000000	0.642048	289.522980	0.113951	0.659448	0.878447	0.423437	0.423437	0.659509	0.659509
009   	001	-	5.000000	0.672575	266.617340	0.112038	0.648555	0.905005	0.436238	0.436238	0.648609	0.648609
010   	001	-	6.000000	0.642048	289.522980	0.113951	0.659448	0.878447	0.423437	0.423437	0.659509	0.659509
011   	001	-	5.000000	0.672575	266.617340	0.112038	0.648555	0.905005	0.436238	0.436238	0.648609	0.648609
012   	001	-	3.000000	0.559823	469.230530	0.134384	0.721978	0.838611	0.404234	0.404234	0.722076	0.722076
013   	001	-	2.000000	0.584441	376.525848	0.123502	0.693263	0.840654	0.405219	0.405219	0.693345	0.693345
014   	001	-	4.000000	0.559823	469.230530	0.134384	0.721978	0.838611	0.404234	0.404234	0.722076	0.722076
015   	001	-	5.000000	0.642048	289.522980	0.113951	0.659448	0.878447	0.423437	0.423437	0.659509	0.659509
016   	001	-	5.000000	0.518956	647.762573	0.150636	0.772167	0.831461	0.400788	0.400788	0.772296	0.772296
017   	001	-	4.000000	0.672575	266.617340	0.112038	0.648555	0.905005	0.436238	0.436238	0.648609	0.648609
018   	001	-	7.000000	0.642048	289.522980	0.113951	0.659448	0.878447	0.423437	0.423437	0.659509	0.659509
019   	001	-	7.000000	0.411620	1735.373413	0.201391	0.971010	0.829418	0.399803	0.399803	0.971292	0.971292
020   	001	-	6.000000	0.672575	266.617340	0.112038	0.648555	0.905005	0.436238	0.436238	0.648609	0.648609
021   	001	-	5.000000	0.642048	289.522980	0.113951	0.659448	0.878447	0.423437	0.423437	0.659509	0.659509
-    	- 	022	4.454545	0.577817	659.148315	0.139894	0.750346	0.863857	0.947809	0.422094	0.750467	0.750467
