Number 	Class 	Size 	NVar    	Coverage 	Significance 	Unusualness 	Accuracy 	Support  	CSupport  	FSupport 	FConfidence 	CConfidence
000   	001	-	4.000000	0.575221	20.645432	0.107134	0.934010	0.717647	0.539823	0.539823	0.938462	0.938462
001   	001	-	2.000000	0.979351	0.011284	0.003733	0.754491	0.984314	0.740413	0.740413	0.756024	0.756024
002   	001	-	2.000000	0.728614	9.238348	0.086146	0.867470	0.843137	0.634218	0.634218	0.870445	0.870445
003   	001	-	4.000000	0.781711	3.295973	0.055055	0.820225	0.854902	0.643068	0.643068	0.822641	0.822641
004   	001	-	3.000000	0.681416	12.465302	0.095100	0.888412	0.807843	0.607670	0.607670	0.891775	0.891775
005   	001	-	2.000000	0.938053	0.455826	0.022998	0.775000	0.968627	0.728614	0.728614	0.776730	0.776730
006   	001	-	3.000000	0.616519	16.888342	0.102618	0.914692	0.752941	0.566372	0.566372	0.918660	0.918660
007   	001	-	3.000000	0.793510	3.239673	0.055029	0.819188	0.866667	0.651917	0.651917	0.821561	0.821561
008   	001	-	3.000000	0.828909	1.616094	0.040202	0.798587	0.882353	0.663717	0.663717	0.800712	0.800712
009   	001	-	3.000000	0.923304	0.559514	0.025243	0.777778	0.956863	0.719764	0.719764	0.779553	0.779553
010   	001	-	3.000000	0.884956	1.035453	0.033440	0.788079	0.929412	0.699115	0.699115	0.790000	0.790000
011   	001	-	4.000000	0.870206	1.203215	0.035685	0.791246	0.917647	0.690265	0.690265	0.793220	0.793220
012   	001	-	2.000000	0.846608	1.460911	0.038687	0.795848	0.898039	0.675516	0.675516	0.797909	0.797909
-    	- 	013	2.923077	0.803721	5.547336	0.053929	0.825002	0.875415	0.752212	0.658498	0.827515	0.827515
