--------------------------------------------
|              Measures file               |
--------------------------------------------

MEASURES USED AS OBJECTIVES:
	COMP	UNUS	

CLASS	COMP	UNUS	FCNF
0	1.000000	0.524599	1.000000
0	1.000000	0.524599	1.000000
0	1.000000	0.524599	1.000000
0	1.000000	0.524599	1.000000
0	1.000000	0.524599	1.000000
0	1.000000	0.524599	1.000000
0	1.000000	0.524599	1.000000
0	1.000000	0.524599	1.000000
1	0.648980	0.828435	1.000000
1	0.648980	0.828435	1.000000
1	0.648980	0.828435	1.000000
1	1.000000	0.775518	0.787781
1	0.648980	0.828435	1.000000
1	0.648980	0.828435	1.000000
1	0.648980	0.828435	1.000000
1	1.000000	0.775518	0.787781
1	0.648980	0.828435	1.000000
1	0.648980	0.828435	1.000000
