Number 	Class 	Size 	NVar    	Coverage 	Significance 	Unusualness 	Accuracy 	Support  	CSupport  	FSupport 	FConfidence 	CConfidence
000   	000	-	2.000000	0.310507	336.249146	0.214092	0.996997	1.000000	0.310507	0.310507	1.000000	1.000000
001   	000	-	4.000000	0.310507	336.249146	0.214092	0.996997	1.000000	0.310507	0.310507	1.000000	1.000000
002   	000	-	3.000000	0.310507	336.249146	0.214092	0.996997	1.000000	0.310507	0.310507	1.000000	1.000000
003   	000	-	4.000000	0.310507	336.249146	0.214092	0.996997	1.000000	0.310507	0.310507	1.000000	1.000000
004   	000	-	4.000000	0.310507	336.249146	0.214092	0.996997	1.000000	0.310507	0.310507	1.000000	1.000000
005   	000	-	3.000000	0.310507	336.249146	0.214092	0.996997	1.000000	0.310507	0.310507	1.000000	1.000000
006   	000	-	3.000000	0.310507	336.249146	0.214092	0.996997	1.000000	0.310507	0.310507	1.000000	1.000000
007   	000	-	5.000000	0.310507	336.249146	0.214092	0.996997	1.000000	0.310507	0.310507	1.000000	1.000000
008   	001	-	3.000000	0.447467	154.042252	0.138942	0.997912	0.648980	0.447467	0.447467	1.000000	1.000000
009   	001	-	2.000000	0.447467	154.042252	0.138942	0.997912	0.648980	0.447467	0.447467	1.000000	1.000000
010   	001	-	3.000000	0.447467	154.042252	0.138942	0.997912	0.648980	0.447467	0.447467	1.000000	1.000000
011   	001	-	2.000000	0.875235	19.623343	0.086025	0.787166	1.000000	0.689493	0.689493	0.787781	0.787781
012   	001	-	4.000000	0.447467	154.042252	0.138942	0.997912	0.648980	0.447467	0.447467	1.000000	1.000000
013   	001	-	3.000000	0.447467	154.042252	0.138942	0.997912	0.648980	0.447467	0.447467	1.000000	1.000000
014   	001	-	4.000000	0.447467	154.042252	0.138942	0.997912	0.648980	0.447467	0.447467	1.000000	1.000000
015   	001	-	3.000000	0.875235	19.623343	0.086025	0.787166	1.000000	0.689493	0.689493	0.787781	0.787781
016   	001	-	4.000000	0.447467	154.042252	0.138942	0.997912	0.648980	0.447467	0.447467	1.000000	1.000000
017   	001	-	5.000000	0.447467	154.042252	0.138942	0.997912	0.648980	0.447467	0.447467	1.000000	1.000000
-    	- 	018	3.388889	0.434126	220.087646	0.166462	0.974089	0.843991	1.000000	0.413488	0.976420	0.976420
