--------------------------------------------
|              Measures file               |
--------------------------------------------

MEASURES USED AS OBJECTIVES:
	COMP	UNUS	

CLASS	COMP	UNUS	FCNF
0	1.000000	0.650000	0.714286
0	0.800000	0.700000	1.000000
0	1.000000	0.650000	0.714286
0	0.800000	0.700000	1.000000
0	1.000000	0.650000	0.714286
0	0.800000	0.700000	1.000000
0	0.800000	0.700000	1.000000
0	1.000000	0.650000	0.714286
0	0.800000	0.700000	1.000000
0	0.800000	0.700000	1.000000
0	1.000000	0.650000	0.714286
0	0.800000	0.700000	1.000000
0	1.000000	0.650000	0.714286
0	0.800000	0.700000	1.000000
0	0.800000	0.700000	1.000000
0	0.800000	0.700000	1.000000
0	0.800000	0.700000	1.000000
0	0.800000	0.700000	1.000000
0	0.800000	0.700000	1.000000
0	0.800000	0.700000	1.000000
0	0.800000	0.700000	1.000000
0	1.000000	0.650000	0.714286
0	0.800000	0.700000	1.000000
0	0.800000	0.700000	1.000000
0	0.800000	0.700000	1.000000
0	0.800000	0.700000	1.000000
0	1.000000	0.650000	0.714286
0	0.800000	0.700000	1.000000
0	0.800000	0.700000	1.000000
0	0.800000	0.700000	1.000000
0	0.800000	0.700000	1.000000
0	1.000000	0.650000	0.714286
0	0.800000	0.700000	1.000000
0	0.800000	0.700000	1.000000
0	0.800000	0.700000	1.000000
0	0.800000	0.700000	1.000000
0	0.800000	0.700000	1.000000
0	0.800000	0.700000	1.000000
0	0.800000	0.700000	1.000000
0	0.800000	0.700000	1.000000
0	0.800000	0.700000	1.000000
0	0.800000	0.700000	1.000000
0	1.000000	0.650000	0.714286
1	1.000000	0.750000	1.000000
1	1.000000	0.750000	1.000000
1	1.000000	0.750000	1.000000
1	1.000000	0.750000	1.000000
1	1.000000	0.750000	1.000000
1	1.000000	0.750000	1.000000
1	1.000000	0.750000	1.000000
1	1.000000	0.750000	1.000000
1	1.000000	0.750000	1.000000
1	1.000000	0.750000	1.000000
1	1.000000	0.750000	1.000000
1	1.000000	0.750000	1.000000
1	1.000000	0.750000	1.000000
1	1.000000	0.750000	1.000000
1	1.000000	0.750000	1.000000
1	1.000000	0.750000	1.000000
1	1.000000	0.750000	1.000000
1	1.000000	0.750000	1.000000
1	1.000000	0.750000	1.000000
1	1.000000	0.750000	1.000000
1	1.000000	0.750000	1.000000
1	1.000000	0.750000	1.000000
1	1.000000	0.750000	1.000000
1	1.000000	0.750000	1.000000
1	1.000000	0.750000	1.000000
1	1.000000	0.750000	1.000000
1	1.000000	0.750000	1.000000
1	1.000000	0.750000	1.000000
1	1.000000	0.750000	1.000000
1	1.000000	0.750000	1.000000
1	1.000000	0.750000	1.000000
1	1.000000	0.750000	1.000000
1	1.000000	0.750000	1.000000
1	1.000000	0.750000	1.000000
1	1.000000	0.750000	1.000000
1	1.000000	0.750000	1.000000
1	1.000000	0.750000	1.000000
1	1.000000	0.750000	1.000000
1	1.000000	0.750000	1.000000
1	1.000000	0.750000	1.000000
1	1.000000	0.750000	1.000000
