Number 	Class 	Size 	NVar    	Coverage 	Significance 	Unusualness 	Accuracy 	Support  	CSupport  	FSupport 	FConfidence 	CConfidence
000   	000	-	5.000000	0.700000	0.576868	0.150000	0.666667	1.000000	0.500000	0.500000	0.714286	0.714286
001   	000	-	6.000000	0.400000	2.408240	0.200000	0.833333	0.800000	0.400000	0.400000	1.000000	1.000000
002   	000	-	9.000000	0.700000	0.576868	0.150000	0.666667	1.000000	0.500000	0.500000	0.714286	0.714286
003   	000	-	7.000000	0.400000	2.408240	0.200000	0.833333	0.800000	0.400000	0.400000	1.000000	1.000000
004   	000	-	8.000000	0.700000	0.576868	0.150000	0.666667	1.000000	0.500000	0.500000	0.714286	0.714286
005   	000	-	7.000000	0.400000	2.408240	0.200000	0.833333	0.800000	0.400000	0.400000	1.000000	1.000000
006   	000	-	8.000000	0.400000	2.408240	0.200000	0.833333	0.800000	0.400000	0.400000	1.000000	1.000000
007   	000	-	7.000000	0.700000	0.576868	0.150000	0.666667	1.000000	0.500000	0.500000	0.714286	0.714286
008   	000	-	8.000000	0.400000	2.408240	0.200000	0.833333	0.800000	0.400000	0.400000	1.000000	1.000000
009   	000	-	6.000000	0.400000	2.408240	0.200000	0.833333	0.800000	0.400000	0.400000	1.000000	1.000000
010   	000	-	6.000000	0.700000	0.576868	0.150000	0.666667	1.000000	0.500000	0.500000	0.714286	0.714286
011   	000	-	8.000000	0.400000	2.408240	0.200000	0.833333	0.800000	0.400000	0.400000	1.000000	1.000000
012   	000	-	8.000000	0.700000	0.576868	0.150000	0.666667	1.000000	0.500000	0.500000	0.714286	0.714286
013   	000	-	6.000000	0.400000	2.408240	0.200000	0.833333	0.800000	0.400000	0.400000	1.000000	1.000000
014   	000	-	6.000000	0.400000	2.408240	0.200000	0.833333	0.800000	0.400000	0.400000	1.000000	1.000000
015   	000	-	5.000000	0.400000	2.408240	0.200000	0.833333	0.800000	0.400000	0.400000	1.000000	1.000000
016   	000	-	7.000000	0.400000	2.408240	0.200000	0.833333	0.800000	0.400000	0.400000	1.000000	1.000000
017   	000	-	7.000000	0.400000	2.408240	0.200000	0.833333	0.800000	0.400000	0.400000	1.000000	1.000000
018   	000	-	6.000000	0.400000	2.408240	0.200000	0.833333	0.800000	0.400000	0.400000	1.000000	1.000000
019   	000	-	4.000000	0.400000	2.408240	0.200000	0.833333	0.800000	0.400000	0.400000	1.000000	1.000000
020   	000	-	7.000000	0.400000	2.408240	0.200000	0.833333	0.800000	0.400000	0.400000	1.000000	1.000000
021   	000	-	4.000000	0.700000	0.576868	0.150000	0.666667	1.000000	0.500000	0.500000	0.714286	0.714286
022   	000	-	6.000000	0.400000	2.408240	0.200000	0.833333	0.800000	0.400000	0.400000	1.000000	1.000000
023   	000	-	7.000000	0.400000	2.408240	0.200000	0.833333	0.800000	0.400000	0.400000	1.000000	1.000000
024   	000	-	6.000000	0.400000	2.408240	0.200000	0.833333	0.800000	0.400000	0.400000	1.000000	1.000000
025   	000	-	8.000000	0.400000	2.408240	0.200000	0.833333	0.800000	0.400000	0.400000	1.000000	1.000000
026   	000	-	7.000000	0.700000	0.576868	0.150000	0.666667	1.000000	0.500000	0.500000	0.714286	0.714286
027   	000	-	6.000000	0.400000	2.408240	0.200000	0.833333	0.800000	0.400000	0.400000	1.000000	1.000000
028   	000	-	6.000000	0.400000	2.408240	0.200000	0.833333	0.800000	0.400000	0.400000	1.000000	1.000000
029   	000	-	9.000000	0.400000	2.408240	0.200000	0.833333	0.800000	0.400000	0.400000	1.000000	1.000000
030   	000	-	5.000000	0.400000	2.408240	0.200000	0.833333	0.800000	0.400000	0.400000	1.000000	1.000000
031   	000	-	6.000000	0.700000	0.576868	0.150000	0.666667	1.000000	0.500000	0.500000	0.714286	0.714286
032   	000	-	7.000000	0.400000	2.408240	0.200000	0.833333	0.800000	0.400000	0.400000	1.000000	1.000000
033   	000	-	9.000000	0.400000	2.408240	0.200000	0.833333	0.800000	0.400000	0.400000	1.000000	1.000000
034   	000	-	7.000000	0.400000	2.408240	0.200000	0.833333	0.800000	0.400000	0.400000	1.000000	1.000000
035   	000	-	5.000000	0.400000	2.408240	0.200000	0.833333	0.800000	0.400000	0.400000	1.000000	1.000000
036   	000	-	7.000000	0.400000	2.408240	0.200000	0.833333	0.800000	0.400000	0.400000	1.000000	1.000000
037   	000	-	4.000000	0.400000	2.408240	0.200000	0.833333	0.800000	0.400000	0.400000	1.000000	1.000000
038   	000	-	8.000000	0.400000	2.408240	0.200000	0.833333	0.800000	0.400000	0.400000	1.000000	1.000000
039   	000	-	5.000000	0.400000	2.408240	0.200000	0.833333	0.800000	0.400000	0.400000	1.000000	1.000000
040   	000	-	5.000000	0.400000	2.408240	0.200000	0.833333	0.800000	0.400000	0.400000	1.000000	1.000000
041   	000	-	10.000000	0.400000	2.408240	0.200000	0.833333	0.800000	0.400000	0.400000	1.000000	1.000000
042   	000	-	8.000000	0.700000	0.576868	0.150000	0.666667	1.000000	0.500000	0.500000	0.714286	0.714286
043   	001	-	9.000000	0.500000	3.010300	0.250000	0.857143	1.000000	0.500000	0.500000	1.000000	1.000000
044   	001	-	7.000000	0.500000	3.010300	0.250000	0.857143	1.000000	0.500000	0.500000	1.000000	1.000000
045   	001	-	10.000000	0.500000	3.010300	0.250000	0.857143	1.000000	0.500000	0.500000	1.000000	1.000000
046   	001	-	7.000000	0.500000	3.010300	0.250000	0.857143	1.000000	0.500000	0.500000	1.000000	1.000000
047   	001	-	6.000000	0.500000	3.010300	0.250000	0.857143	1.000000	0.500000	0.500000	1.000000	1.000000
048   	001	-	8.000000	0.500000	3.010300	0.250000	0.857143	1.000000	0.500000	0.500000	1.000000	1.000000
049   	001	-	3.000000	0.500000	3.010300	0.250000	0.857143	1.000000	0.500000	0.500000	1.000000	1.000000
050   	001	-	7.000000	0.500000	3.010300	0.250000	0.857143	1.000000	0.500000	0.500000	1.000000	1.000000
051   	001	-	5.000000	0.500000	3.010300	0.250000	0.857143	1.000000	0.500000	0.500000	1.000000	1.000000
052   	001	-	7.000000	0.500000	3.010300	0.250000	0.857143	1.000000	0.500000	0.500000	1.000000	1.000000
053   	001	-	6.000000	0.500000	3.010300	0.250000	0.857143	1.000000	0.500000	0.500000	1.000000	1.000000
054   	001	-	7.000000	0.500000	3.010300	0.250000	0.857143	1.000000	0.500000	0.500000	1.000000	1.000000
055   	001	-	7.000000	0.500000	3.010300	0.250000	0.857143	1.000000	0.500000	0.500000	1.000000	1.000000
056   	001	-	5.000000	0.500000	3.010300	0.250000	0.857143	1.000000	0.500000	0.500000	1.000000	1.000000
057   	001	-	6.000000	0.500000	3.010300	0.250000	0.857143	1.000000	0.500000	0.500000	1.000000	1.000000
058   	001	-	6.000000	0.500000	3.010300	0.250000	0.857143	1.000000	0.500000	0.500000	1.000000	1.000000
059   	001	-	7.000000	0.500000	3.010300	0.250000	0.857143	1.000000	0.500000	0.500000	1.000000	1.000000
060   	001	-	9.000000	0.500000	3.010300	0.250000	0.857143	1.000000	0.500000	0.500000	1.000000	1.000000
061   	001	-	7.000000	0.500000	3.010300	0.250000	0.857143	1.000000	0.500000	0.500000	1.000000	1.000000
062   	001	-	7.000000	0.500000	3.010300	0.250000	0.857143	1.000000	0.500000	0.500000	1.000000	1.000000
063   	001	-	8.000000	0.500000	3.010300	0.250000	0.857143	1.000000	0.500000	0.500000	1.000000	1.000000
064   	001	-	7.000000	0.500000	3.010300	0.250000	0.857143	1.000000	0.500000	0.500000	1.000000	1.000000
065   	001	-	8.000000	0.500000	3.010300	0.250000	0.857143	1.000000	0.500000	0.500000	1.000000	1.000000
066   	001	-	10.000000	0.500000	3.010300	0.250000	0.857143	1.000000	0.500000	0.500000	1.000000	1.000000
067   	001	-	7.000000	0.500000	3.010300	0.250000	0.857143	1.000000	0.500000	0.500000	1.000000	1.000000
068   	001	-	6.000000	0.500000	3.010300	0.250000	0.857143	1.000000	0.500000	0.500000	1.000000	1.000000
069   	001	-	6.000000	0.500000	3.010300	0.250000	0.857143	1.000000	0.500000	0.500000	1.000000	1.000000
070   	001	-	8.000000	0.500000	3.010300	0.250000	0.857143	1.000000	0.500000	0.500000	1.000000	1.000000
071   	001	-	8.000000	0.500000	3.010300	0.250000	0.857143	1.000000	0.500000	0.500000	1.000000	1.000000
072   	001	-	6.000000	0.500000	3.010300	0.250000	0.857143	1.000000	0.500000	0.500000	1.000000	1.000000
073   	001	-	6.000000	0.500000	3.010300	0.250000	0.857143	1.000000	0.500000	0.500000	1.000000	1.000000
074   	001	-	6.000000	0.500000	3.010300	0.250000	0.857143	1.000000	0.500000	0.500000	1.000000	1.000000
075   	001	-	7.000000	0.500000	3.010300	0.250000	0.857143	1.000000	0.500000	0.500000	1.000000	1.000000
076   	001	-	5.000000	0.500000	3.010300	0.250000	0.857143	1.000000	0.500000	0.500000	1.000000	1.000000
077   	001	-	5.000000	0.500000	3.010300	0.250000	0.857143	1.000000	0.500000	0.500000	1.000000	1.000000
078   	001	-	8.000000	0.500000	3.010300	0.250000	0.857143	1.000000	0.500000	0.500000	1.000000	1.000000
079   	001	-	7.000000	0.500000	3.010300	0.250000	0.857143	1.000000	0.500000	0.500000	1.000000	1.000000
080   	001	-	8.000000	0.500000	3.010300	0.250000	0.857143	1.000000	0.500000	0.500000	1.000000	1.000000
081   	001	-	6.000000	0.500000	3.010300	0.250000	0.857143	1.000000	0.500000	0.500000	1.000000	1.000000
082   	001	-	7.000000	0.500000	3.010300	0.250000	0.857143	1.000000	0.500000	0.500000	1.000000	1.000000
