Number 	Class 	Size 	NVar    	Coverage 	Significance 	Unusualness 	Accuracy 	Support  	CSupport  	FSupport 	FConfidence 	CConfidence
000   	000	-	2.000000	0.804196	1.950294	0.050198	0.762931	0.875622	0.615385	0.615385	0.765217	0.765217
001   	000	-	5.000000	0.013986	1.225360	0.004157	0.833333	0.019900	0.013986	0.013986	1.000000	1.000000
002   	000	-	2.000000	0.454545	1.925724	0.037190	0.780303	0.507463	0.356643	0.356643	0.784615	0.784615
003   	000	-	4.000000	0.160839	0.336418	0.009340	0.750000	0.174129	0.122378	0.122378	0.760870	0.760870
004   	001	-	3.000000	0.017483	5.269471	0.012287	0.857143	0.058824	0.017483	0.017483	1.000000	1.000000
005   	001	-	5.000000	0.006993	2.107788	0.004915	0.750000	0.023529	0.006993	0.006993	1.000000	1.000000
006   	001	-	4.000000	0.006993	2.107788	0.004915	0.750000	0.023529	0.006993	0.006993	1.000000	1.000000
007   	001	-	4.000000	0.006993	2.107788	0.004915	0.750000	0.023529	0.006993	0.006993	1.000000	1.000000
008   	001	-	5.000000	0.038462	11.592836	0.027031	0.923077	0.129412	0.038462	0.038462	1.000000	1.000000
-    	- 	009	3.777778	0.167832	3.180385	0.017216	0.795199	0.203993	0.758741	0.131702	0.923411	0.923411
