Measures used as objectives: COMP, FCNF, UNUS;
Class 	COMP	FCNF	UNUS	FITNESS
0	0.500000	0.688889	0.568548	0.577231
0	0.225806	0.875000	0.548387	0.517339
0	0.080645	1.000000	0.520161	0.488306
0	0.048387	1.000000	0.512097	0.472984
0	0.064516	1.000000	0.516129	0.480645
0	0.064516	1.000000	0.516129	0.480645
0	0.048387	1.000000	0.512097	0.472984
0	0.032258	1.000000	0.508065	0.465323
0	0.048387	1.000000	0.512097	0.472984
1	0.145161	1.000000	0.536290	0.518952
1	0.274194	1.000000	0.568548	0.580242
1	0.241935	1.000000	0.560484	0.564919
1	0.467742	1.000000	0.616935	0.672177
