Number 	Class 	Size 	NVar    	Coverage 	Significance 	Unusualness 	Accuracy 	Support  	CSupport  	FSupport 	FConfidence 	CConfidence
000   	000	-	2.000000	0.362903	2.859584	0.068548	0.680851	0.500000	0.250000	0.250000	0.688889	0.688889
001   	000	-	3.000000	0.129032	4.396825	0.048387	0.833333	0.225806	0.112903	0.112903	0.875000	0.875000
002   	000	-	4.000000	0.040323	3.010300	0.020161	0.857143	0.080645	0.040323	0.040323	1.000000	1.000000
003   	000	-	4.000000	0.024194	1.806180	0.012097	0.800000	0.048387	0.024194	0.024194	1.000000	1.000000
004   	000	-	4.000000	0.032258	2.408240	0.016129	0.833333	0.064516	0.032258	0.032258	1.000000	1.000000
005   	000	-	4.000000	0.032258	2.408240	0.016129	0.833333	0.064516	0.032258	0.032258	1.000000	1.000000
006   	000	-	4.000000	0.024194	1.806180	0.012097	0.800000	0.048387	0.024194	0.024194	1.000000	1.000000
007   	000	-	5.000000	0.016129	1.204120	0.008065	0.750000	0.032258	0.016129	0.016129	1.000000	1.000000
008   	000	-	5.000000	0.024194	1.806180	0.012097	0.800000	0.048387	0.024194	0.024194	1.000000	1.000000
009   	001	-	3.000000	0.072581	5.418540	0.036290	0.909091	0.145161	0.072581	0.072581	1.000000	1.000000
010   	001	-	3.000000	0.137097	10.235020	0.068548	0.947368	0.274194	0.137097	0.137097	1.000000	1.000000
011   	001	-	3.000000	0.120968	9.030900	0.060484	0.941176	0.241935	0.120968	0.120968	1.000000	1.000000
012   	001	-	2.000000	0.233871	17.459740	0.116935	0.967742	0.467742	0.233871	0.233871	1.000000	1.000000
-    	- 	013	3.538461	0.096154	4.911542	0.038151	0.842567	0.172457	0.967742	0.086228	0.966453	0.966453
