Measures used as objectives: COMP, FCNF, UNUS;
Class 	COMP	FCNF	UNUS	FITNESS
0	0.033546	1.000000	0.661041	0.511731
0	0.124601	1.000000	0.681661	0.554339
0	0.124601	1.000000	0.681661	0.554339
0	0.365815	0.693939	0.667394	0.554726
0	0.012780	1.000000	0.656339	0.502013
0	0.124601	1.000000	0.681661	0.554339
0	0.124601	1.000000	0.681661	0.554339
0	0.584665	0.799127	0.723092	0.690531
0	0.022364	1.000000	0.658509	0.506498
0	0.471246	0.705742	0.676263	0.603100
0	0.199681	0.781250	0.674790	0.516684
1	0.108434	1.000000	0.371111	0.454707
1	0.150602	1.000000	0.380660	0.474439
1	0.108434	1.000000	0.371111	0.454707
1	0.024096	1.000000	0.352012	0.415242
1	0.108434	1.000000	0.371111	0.454707
1	0.108434	1.000000	0.371111	0.454707
