Number 	Class 	Size 	NVar    	Coverage 	Significance 	Unusualness 	Accuracy 	Support  	CSupport  	FSupport 	FConfidence 	CConfidence
000   	000	-	4.000000	0.021921	7.761230	0.007597	0.956522	0.033546	0.021921	0.021921	1.000000	1.000000
001   	000	-	4.000000	0.081420	28.827421	0.028216	0.987500	0.124601	0.081420	0.081420	1.000000	1.000000
002   	000	-	4.000000	0.081420	28.827421	0.028216	0.987500	0.124601	0.081420	0.081420	1.000000	1.000000
003   	000	-	2.000000	0.344468	1.058649	0.013949	0.692771	0.365815	0.239040	0.239040	0.693939	0.693939
004   	000	-	5.000000	0.008351	2.956659	0.002894	0.900000	0.012780	0.008351	0.008351	1.000000	1.000000
005   	000	-	4.000000	0.081420	28.827421	0.028216	0.987500	0.124601	0.081420	0.081420	1.000000	1.000000
006   	000	-	4.000000	0.081420	28.827421	0.028216	0.987500	0.124601	0.081420	0.081420	1.000000	1.000000
007   	000	-	2.000000	0.478079	20.401333	0.069648	0.797826	0.584665	0.382046	0.382046	0.799127	0.799127
008   	000	-	4.000000	0.014614	5.174154	0.005064	0.937500	0.022364	0.014614	0.014614	1.000000	1.000000
009   	000	-	2.000000	0.436326	2.251020	0.022819	0.704762	0.471246	0.307933	0.307933	0.705742	0.705742
010   	000	-	3.000000	0.167015	5.407584	0.021345	0.777778	0.199681	0.130480	0.130480	0.781250	0.781250
011   	001	-	4.000000	0.037578	33.136375	0.024555	0.973684	0.108434	0.037578	0.037578	1.000000	1.000000
012   	001	-	4.000000	0.052192	46.022743	0.034105	0.980769	0.150602	0.052192	0.052192	1.000000	1.000000
013   	001	-	4.000000	0.037578	33.136375	0.024555	0.973684	0.108434	0.037578	0.037578	1.000000	1.000000
014   	001	-	6.000000	0.008351	7.363639	0.005457	0.900000	0.024096	0.008351	0.008351	1.000000	1.000000
015   	001	-	4.000000	0.037578	33.136375	0.024555	0.973684	0.108434	0.037578	0.037578	1.000000	1.000000
016   	001	-	4.000000	0.037578	33.136375	0.024555	0.973684	0.108434	0.037578	0.037578	1.000000	1.000000
-    	- 	017	3.764706	0.118077	20.367779	0.023174	0.911333	0.164525	0.864301	0.096525	0.940003	0.940003
